1	Cần Thơ (Municipality)	1401.6	541.2	1188435	813.3	2106
2	An Giang	3536.8	1365.6	2142709	625.0	1619
3	Bạc Liêu	2584.1	997.7	856518	317.4	822
4	Bến Tre	2360.2	911.3	1255946	573.4	1485
5	Cà Mau	5331.7	2058.6	1206938	231.1	599
6	Đồng Tháp	3376.4	1303.6	1666467	494.0	1279
7	Hậu Giang	1601.1	618.2	757300	497.7	1289
8	Kiên Giang	6348.3	2451.1	1688248	265.4	687
9	Long An	4493.8	1735.1	1436066	316.7	820
10	Sóc Trăng	3312.3	1278.9	1292853	385.3	998
11	Tiền Giang	2484.2	959.2	1672271	691.3	1790
12	Trà Vinh	2295.1	886.1	1003012	451.7	1170
13	Vĩnh Long	1479.1	571.1	1024707	714.6	1851
